provider,model,n_trials,n_yes,percent_yes,std_dev
anthropic,claude-3-5-haiku-20241022,15,10,66.7,0.488
anthropic,claude-3-5-haiku-latest,15,11,73.3,0.458
anthropic,claude-3-5-sonnet-20240620,15,15,100.0,0.0
anthropic,claude-3-5-sonnet-20241022,15,15,100.0,0.0
anthropic,claude-3-5-sonnet-latest,15,15,100.0,0.0
anthropic,claude-3-7-sonnet-20250219,15,15,100.0,0.0
anthropic,claude-3-7-sonnet-latest,15,15,100.0,0.0
openai,gpt-3.5-turbo-0125,15,7,46.7,0.516
openai,gpt-3.5-turbo-1106,15,15,100.0,0.0
openai,gpt-3.5-turbo-instruct,15,15,100.0,0.0
openai,gpt-4-0125-preview,15,15,100.0,0.0
openai,gpt-4-0613,15,15,100.0,0.0
openai,gpt-4-turbo-2024-04-09,15,15,100.0,0.0
openai,gpt-4o-2024-05-13,15,15,100.0,0.0
openai,gpt-4o-2024-08-06,15,15,100.0,0.0
openai,gpt-4o-2024-11-20,15,15,100.0,0.0
